request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_91,296.45,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,680.44,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 34,034 request. Although ZAR 680.44 is available today, the full amount cannot be completed safely within 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,5701.4,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 5,701.40 is available today, the full amount cannot be completed safely within 90 days."
request_96,73658.06,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1531.49,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,17638.73,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,25540.19,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,3231.62,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 3,231.62 is available today, the full amount cannot be completed safely within 90 days."
request_104,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 24,700 minimum protected."
request_105,49021.72,affordable_later,wait,2026-07-15:53500,2026-07-15,none,"Pay INR 53,500 in full on 15 July 2026. Paying earlier would take the balance below the INR 73,900 minimum."
request_106,456.87,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2416.52,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,reduce_to:event_9959:42.50,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available."
request_108,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,480.56,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10081|stop:event_10080,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,20201.58,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 15 October 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,55208.86,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Pay INR 65,300 in full on 15 January 2026. Paying earlier would take the balance below the INR 113,400 minimum."
request_115,14577.04,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,7159.25,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 7,159.25 is available today, the full amount cannot be completed safely within 90 days."
request_117,858.24,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10878:20.50,"Pay EUR 880 today. This leaves at least EUR 1,000 available."
request_118,646.2,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,stop:event_10912,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,59172.48,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,reduce_to:event_11057:2370,"Use 3 installments of INR 70,546.67, starting 18 May 2025. This leaves at least INR 151,200 available."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1396.6,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,reduce_to:event_11480:38,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,6851.54,affordable_later,wait,2024-11-15:23980,2024-11-15,none,"Pay ZAR 23,980 in full on 15 November 2024. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,112.91,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 112.91 is available today, the full amount cannot be completed safely within 90 days."
request_130,375.25,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1136.45,not_affordable,not_recommended,none,2025-07-23,none,"Do not proceed with the USD 1,855.20 request. Although USD 1,136.45 is available today, the full amount cannot be completed safely within 90 days."
request_132,249.25,affordable_later,wait,2026-02-15:379.86,2026-02-15,none,"Pay USD 379.86 in full on 15 February 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4380331.3,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,281.08,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:event_12458:17.50|stop:event_12413,Pay USD 304.80 today. This leaves at least USD 500 available.
request_136,528.47,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,25043.91,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,100 request. Although INR 25,043.91 is available today, the full amount cannot be completed safely within 90 days."
request_138,745.58,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"Use 3 installments of EUR 435.74, starting 7 April 2026. This leaves at least EUR 2,300 available."
request_139,1264.38,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with the USD 2,316 request. Although USD 1,264.38 is available today, the full amount cannot be completed safely within 90 days."
request_140,1443.4,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 1,443.40 is available today, the full amount cannot be completed safely within 90 days."
request_141,19086.75,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 19,086.75 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2494.89,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.1,affordable_with_plan,full_payment,2026-07-04:233.34,2026-08-15,reduce_to:event_13306:17.50,Pay USD 233.34 today. This leaves at least USD 600 available.
request_145,26294.04,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13409:3335,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available."
request_146,15962.42,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 15,962.42 is available today, the full amount cannot be completed safely within 90 days."
request_147,472.79,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,7348.96,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,reduce_to:event_13661:531.30,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,22018.28,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-15,reduce_to:event_13703:1013.76,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,255.03,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13786|reduce_to:event_13787:16,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11068.85,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with the ZAR 13,882 request. Although ZAR 11,068.85 is available today, the full amount cannot be completed safely within 90 days."
request_153,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,8636.53,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4669819.12,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,2485.5,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13,398 request. Although ZAR 2,485.50 is available today, the full amount cannot be completed safely within 90 days."
request_160,569.21,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,6655862.94,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,1553419.26,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 1,553,419.26 is available today, the full amount cannot be completed safely within 90 days."
request_163,8562939.88,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This leaves at least IDR 26,728,700 available."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,65902.03,affordable_with_plan,full_payment,2026-04-06:80600,,reduce_to:event_15173:1875|stop:event_15135,"Pay INR 80,600 today. This leaves at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,29220.35,not_affordable,not_recommended,none,2026-02-15,none,"Do not proceed with the INR 49,380 request. Although INR 29,220.35 is available today, the full amount cannot be completed safely within 90 days."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,29993182.8,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,33.48,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 33.48 is available today, the full amount cannot be completed safely within 90 days."
request_172,9076.11,affordable_with_plan,partial_payment,2024-06-05:9076.11|2024-06-15:1123.89,2024-06-15,none,"Pay ZAR 9,076.11 today and the remaining ZAR 1,123.89 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 January 2026. None of the available options keeps the INR 79,100 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,6509527.76,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
